date,open,high,low,close,volume,MACD,Signal,Hist,RSI,CMF
2025-08-08,197.22,202.61,197.17,201.42,39161826.0,0.0,0.0,0.0,,
2025-08-07,197.06,197.54,194.33,196.52,26321811.0,-0.3908831908831871,-0.07817663817663743,-0.3127065527065497,,
2025-08-06,194.5,196.63,193.67,196.09,21562908.0,-0.7269781901121064,-0.20793694856373124,-0.5190412415483752,,
2025-08-05,194.71,197.8599,193.885,194.67,31602340.0,-1.095292184492422,-0.3854079957494694,-0.7098841887429526,,
2025-08-04,190.29,195.27,190.12,195.04,31547350.0,-1.3418596480725569,-0.5766983262140869,-0.76516132185847,,
2025-08-01,189.025,190.83,187.82,189.13,34832181.0,-1.9912004283923466,-0.8595987466497389,-1.1316016817426076,,
2025-07-31,195.71,195.99,191.09,191.9,51329163.0,-2.2562828012538034,-1.138935557570552,-1.1173472436832514,,
2025-07-30,195.6,197.5999,194.685,196.53,32445405.0,-2.0689110671566198,-1.3249306594877657,-0.7439804076688541,,
2025-07-29,192.43,195.92,192.08,195.75,41389153.0,-1.9607547391071591,-1.4520954754116444,-0.5086592636955147,,
2025-07-28,193.65,194.05,190.84,192.58,38139504.0,-2.1065495847765874,-1.582986297284633,-0.5235632874919545,,
2025-07-25,191.98,194.33,191.26,193.18,39785863.0,-2.1489068047765727,-1.696170398783021,-0.4527364059935517,,
2025-07-24,197.03,197.95,191.0,192.17,74881687.0,-2.238173495035511,-1.8045710180335193,-0.4336024770019917,,
2025-07-23,191.5,192.53,189.18,190.23,58681948.0,-2.437363369226574,-1.9311294882721304,-0.5062338809544438,,
2025-07-22,191.495,191.645,187.46,191.34,44660215.0,-2.4771005826899,-2.0403237071556846,-0.4367768755342154,32.6446280991736,
2025-07-21,186.25,190.285,186.15,190.1,45803129.0,-2.5789220395892585,-2.148043373642399,-0.4308786659468593,31.307793923381794,
2025-07-18,185.4,186.42,183.71,185.06,34014509.0,-3.031358542406821,-2.3247064073952837,-0.7066521350115371,31.163708086785036,
